id,typeId,name,floor,width,length,height,measure,area,volume,state,created,updated
69089c5c1cb2a76b3b950641,690750a37c0a06dc20f9393a,b2007,0,2,3.8,2.7,,7.6,20.52,occupied,2025-11-03 13:13:16,2025-11-24 16:55:24
69089c5c1cb2a76b3b950688,69089c436cf086dbba650fd9,b2008,0,1.8,2.16,2.7,,3.89,10.5,occupied,2025-11-03 13:13:16,2025-11-24 16:55:24
69089c5d1cb2a76b3b95070f,69089c436cf086dbba650fd9,b2009,0,1.8,2.16,2.7,,3.89,10.5,occupied,2025-11-03 13:13:17,2025-11-24 16:55:25
69089c5d6cf086dbba656a17,69089c436cf086dbba650fd9,b2010,0,1.8,2.16,2.7,,3.89,10.5,blocked,2025-11-03 13:13:17,2025-11-26 11:52:28
69089c5d6cf086dbba656a5e,69089c436cf086dbba651048,b2011,0,2.12,2.16,2.7,,4.58,12.36,occupied,2025-11-03 13:13:17,2025-11-24 16:55:26
69089c5d6cf086dbba656aa5,690750a37c0a06dc20f9391c,b2012,0,4.01,2.34,2.7,,9.38,25.34,blocked,2025-11-03 13:13:17,2025-11-26 12:05:54
69089c5e6cf086dbba656aec,69089c441cb2a76b3b94bb4d,b2013,0,2.85,4.08,2.7,,11.63,31.4,occupied,2025-11-03 13:13:18,2025-11-24 16:55:26
69089c5e1cb2a76b3b950856,69089c441cb2a76b3b94bb86,b2014,0,3.25,1.6,2.7,,5.2,14.04,occupied,2025-11-03 13:13:18,2025-11-24 16:55:27
69089c5e6cf086dbba656bf5,69089c446cf086dbba6510af,b2015,0,2.5,3.3,2.7,,8.25,22.28,occupied,2025-11-03 13:13:18,2025-12-31 11:54:25
69089c5e1cb2a76b3b9508de,69089c441cb2a76b3b94bc24,b2016,0,2.5,3.25,2.3,,8.13,18.69,occupied,2025-11-03 13:13:18,2026-01-15 12:35:18
69089c5e1cb2a76b3b950925,690750a2dcb2b6de52ecf04a,b2017,0,2.75,3.65,2.7,,10.04,27.1,occupied,2025-11-03 13:13:18,2025-11-24 16:55:29
69089c5f1cb2a76b3b9509ac,69089c446cf086dbba651170,b2018,0,3,3.6,2.7,,10.8,29.16,occupied,2025-11-03 13:13:19,2026-01-26 13:01:40
69089c5f1cb2a76b3b950a33,69089c441cb2a76b3b94bcb2,b2019,0,3.65,2.53,2.7,,9.23,24.93,occupied,2025-11-03 13:13:19,2026-01-11 13:43:21
690b24733916b12eeda164d1,690b2160288cf12e2c4f27de,bk12.5m3,2,6.5,2.4,1,,15.6,15.6,occupied,2025-11-05 11:18:27,2026-01-16 16:02:01
690b24df288cf12e2c56dd90,690b2160288cf12e2c4f27de,bk1m1,2,1,1,1,,1,1,occupied,2025-11-05 11:20:15,2026-01-08 09:29:25
690b24673916b12eeda14457,690b2160288cf12e2c4f27de,bk1m10,2,1,1,1,,1,1,blocked,2025-11-05 11:18:15,2025-11-26 13:20:29
690b2467288cf12e2c55587d,690b2160288cf12e2c4f27de,bk1m11,2,1,1,1,,1,1,occupied,2025-11-05 11:18:15,2025-11-24 16:55:32
